experiment_id,model,model_short,sparsity,cal_nsamples,cal_tokens,pca_type,status,perplexity,compress_time_s,eval_time_s,total_time_s,model_load_time_s,num_layers,hidden_size,sliced_dim,original_params,sliced_params,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,gpu_peak_mb,timestamp_start,timestamp_end,error
opt-125m_s10_n16_per-layer,facebook/opt-125m,opt-125m,0.1,16,32768,per-layer,success,29.87032699584961,10.078685283660889,4.231181383132935,25.194347143173218,2.8451569080352783,12,768,688,163860064,162486160,11415296,21.77294921875,12,12,6529.234375,2025-12-12T15:13:44.387159,2025-12-12T15:14:09.721767,
opt-125m_s10_n16_global,facebook/opt-125m,opt-125m,0.1,16,32768,global,success,30.57050323486328,4.930279493331909,4.188041925430298,16.57337784767151,1.8644261360168457,12,768,688,163860064,151599248,528384,1.0078125,0,1,6586.13818359375,2025-12-12T15:14:11.779216,2025-12-12T15:14:28.506246,
opt-125m_s10_n32_per-layer,facebook/opt-125m,opt-125m,0.1,32,65536,per-layer,success,29.66098976135254,13.12982439994812,4.23038125038147,24.504071474075317,1.7598910331726074,12,768,688,163860064,162486160,11415296,21.77294921875,12,12,6586.13818359375,2025-12-12T15:14:30.581362,2025-12-12T15:14:55.230922,
opt-125m_s10_n32_global,facebook/opt-125m,opt-125m,0.1,32,65536,global,success,30.156702041625977,6.179610252380371,4.181560039520264,17.332367181777954,2.0964083671569824,12,768,688,163860064,151599248,528384,1.0078125,0,1,6586.13818359375,2025-12-12T15:14:57.288640,2025-12-12T15:15:14.785664,
opt-125m_s10_n64_per-layer,facebook/opt-125m,opt-125m,0.1,64,131072,per-layer,success,29.435548782348633,19.32971715927124,4.210698843002319,30.390864372253418,1.7631592750549316,12,768,688,163860064,162486160,11415296,21.77294921875,12,12,6586.13818359375,2025-12-12T15:15:16.856250,2025-12-12T15:15:47.390022,
opt-125m_s10_n64_global,facebook/opt-125m,opt-125m,0.1,64,131072,global,success,30.1949405670166,9.514586210250854,4.176422119140625,20.502467393875122,1.8150944709777832,12,768,688,163860064,151599248,528384,1.0078125,0,1,6586.13818359375,2025-12-12T15:15:49.465332,2025-12-12T15:16:10.116191,
opt-125m_s10_n128_per-layer,facebook/opt-125m,opt-125m,0.1,128,262144,per-layer,success,29.325326919555664,31.94046449661255,4.161590814590454,43.094250440597534,1.816469669342041,12,768,688,163860064,162486160,11415296,21.77294921875,12,12,6586.13818359375,2025-12-12T15:16:12.192091,2025-12-12T15:16:55.429525,
opt-125m_s10_n128_global,facebook/opt-125m,opt-125m,0.1,128,262144,global,success,30.269136428833008,15.09908413887024,4.113893270492554,28.076229333877563,2.0475852489471436,12,768,688,163860064,151599248,528384,1.0078125,0,1,6586.13818359375,2025-12-12T15:16:57.482340,2025-12-12T15:17:25.719117,
opt-125m_s10_n256_per-layer,facebook/opt-125m,opt-125m,0.1,256,524288,per-layer,success,29.321182250976562,56.36666679382324,4.1436402797698975,69.93022871017456,2.243842363357544,12,768,688,163860064,162486160,11415296,21.77294921875,12,12,6586.13818359375,2025-12-12T15:17:27.774204,2025-12-12T15:18:37.843837,
opt-125m_s10_n256_global,facebook/opt-125m,opt-125m,0.1,256,524288,global,success,30.284589767456055,25.667503356933594,4.102144956588745,38.3495397567749,2.3966875076293945,12,768,688,163860064,151599248,528384,1.0078125,0,1,6586.13818359375,2025-12-12T15:18:39.889459,2025-12-12T15:19:18.389889,
