experiment_id,model_short,num_layers,sparsity,k_value,method,num_blocks,perplexity,status,compress_time_s,eval_time_s,total_time_s,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,hidden_size,sliced_dim,total_params,total_params_mb,gpu_peak_mb,model_load_time_s,timestamp_start,timestamp_end,error
opt-125m_s10_k1,opt-125m,12,0.1,1,per-layer,12,30.17646598815918,success,31.802939653396606,8.266188383102417,53.03227734565735,11415296.0,21.77294921875,12.0,12.0,768,688,162486160.0,309.9177551269531,6530.859375,2.20117712020874,2025-12-11T13:21:38.010695,2025-12-11T13:22:31.042995,
opt-125m_s10_k2,opt-125m,12,0.1,2,k-block-2,6,2245.877685546875,success,14.383321046829224,8.108068704605103,32.24589991569519,2895104.0,5.52197265625,5.0,1.0,768,688,153965968.0,293.6667785644531,6609.13818359375,2.6776986122131348,2025-12-11T13:22:33.240361,2025-12-11T13:23:05.486283,
opt-125m_s10_k3,opt-125m,12,0.1,3,k-block-3,4,670.4213256835938,success,14.459473371505736,8.117208242416382,31.472875595092773,1948416.0,3.71630859375,3.0,1.0,768,688,153019280.0,291.8611145019531,6599.63818359375,2.5826706886291504,2025-12-11T13:23:07.680572,2025-12-11T13:23:39.153471,
opt-125m_s10_k4,opt-125m,12,0.1,4,k-block-4,3,219.3002777099609,success,14.5042564868927,8.129760980606079,30.764193534851078,1475072.0,2.8134765625,2.0,1.0,768,688,152545936.0,290.9582824707031,6595.13818359375,2.183935642242432,2025-12-11T13:23:41.356590,2025-12-11T13:24:12.120805,
opt-125m_s10_k6,opt-125m,12,0.1,6,k-block-6,2,62.73121643066406,success,14.402854442596436,8.12018609046936,31.04192852973938,1001728.0,1.91064453125,1.0,1.0,768,688,152072592.0,290.0554504394531,6590.63818359375,2.486478090286255,2025-12-11T13:24:14.319226,2025-12-11T13:24:45.361178,
opt-125m_s10_k12,opt-125m,12,0.1,12,global,1,31.042133331298828,success,14.412291049957275,8.09420657157898,31.32048463821411,528384.0,1.0078125,0.0,1.0,768,688,151599248.0,289.1526184082031,6586.13818359375,2.340198516845703,2025-12-11T13:24:47.551945,2025-12-11T13:25:18.872458,
opt-125m_s20_k1,opt-125m,12,0.2,1,per-layer,12,35.562049865722656,success,30.7507426738739,8.163386821746826,47.02291297912598,8969216.0,17.107421875,12.0,12.0,768,608,147250880.0,280.8587646484375,6519.03662109375,2.043334484100342,2025-12-11T13:25:21.068792,2025-12-11T13:26:08.091734,
opt-125m_s20_k2,opt-125m,12,0.2,2,k-block-2,6,2650.297607421875,success,14.155943870544434,8.08430528640747,29.966863870620728,2315264.0,4.416015625,5.0,1.0,768,608,140596928.0,268.1673583984375,6609.13818359375,2.0440268516540527,2025-12-11T13:26:10.308567,2025-12-11T13:26:40.275455,
opt-125m_s20_k3,opt-125m,12,0.2,3,k-block-3,4,881.9619140625,success,14.21489715576172,8.06753396987915,30.43178629875183,1575936.0,3.005859375,3.0,1.0,768,608,139857600.0,266.7572021484375,6599.63818359375,2.104094982147217,2025-12-11T13:26:42.484356,2025-12-11T13:27:12.916154,
opt-125m_s20_k4,opt-125m,12,0.2,4,k-block-4,3,331.48046875,success,14.264658212661743,8.048705101013184,30.580761671066284,1206272.0,2.30078125,2.0,1.0,768,608,139487936.0,266.0521240234375,6595.13818359375,2.3330297470092773,2025-12-11T13:27:15.118162,2025-12-11T13:27:45.698945,
