model,model_short,sparsity,cal_nsamples,pca_type,status,perplexity,compress_time_s,eval_time_s,shortcut_params,shortcut_memory_mb,timestamp_start,timestamp_end
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,16,global,success,6.433681011199951,117.36441206932068,35.21920585632324,15073280,28.75,2025-12-14T03:37:23.740120,2025-12-14T03:40:33.935449
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,16,per-layer,success,6.48371696472168,188.33577871322632,39.04697823524475,868244480,1656.044921875,2025-12-14T03:32:51.169608,2025-12-14T03:37:18.642801
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,32,global,success,6.334059715270996,156.31973099708557,35.22383403778076,15073280,28.75,2025-12-14T03:46:37.199488,2025-12-14T03:50:31.584672
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,32,per-layer,success,6.178511142730713,275.54753136634827,39.04913687705994,868244480,1656.044921875,2025-12-14T03:40:39.125099,2025-12-14T03:46:31.954998
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,64,global,success,6.242249965667725,233.9741408824921,35.2057831287384,15073280,28.75,2025-12-14T03:59:21.425242,2025-12-14T04:04:37.196972
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,64,per-layer,success,6.0467705726623535,440.7555558681488,39.00670027732849,868244480,1656.044921875,2025-12-14T03:50:36.772774,2025-12-14T03:59:16.179307
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,128,global,success,6.162742614746094,389.0786197185517,35.18711447715759,15073280,28.75,2025-12-14T04:19:00.884866,2025-12-14T04:26:40.869086
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,128,per-layer,success,5.956418514251709,777.8352534770966,39.02321910858154,868244480,1656.044921875,2025-12-14T04:04:42.387204,2025-12-14T04:18:55.635053
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,256,global,success,6.103372573852539,698.9775295257568,35.18738341331482,15073280,28.75,2025-12-14T04:52:15.149668,2025-12-14T05:05:06.787764
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,256,per-layer,success,5.896495819091797,1450.062353372574,38.96695709228516,868244480,1656.044921875,2025-12-14T04:26:46.035644,2025-12-14T04:52:10.071530
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,16,global,success,8.74543285369873,116.55871796607973,35.99998211860657,13402112,25.5625,2025-12-14T05:09:38.349130,2025-12-14T05:12:45.416654
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,16,per-layer,success,8.32108211517334,188.01970529556277,39.06493949890137,687879104,1312.0252685546875,2025-12-14T05:05:11.962053,2025-12-14T05:09:33.246428
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,32,global,success,8.423768997192383,156.09171724319458,36.001277446746826,13402112,25.5625,2025-12-14T05:18:41.288207,2025-12-14T05:22:28.786446
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,32,per-layer,success,7.545465469360352,273.1047248840332,39.09160876274109,687879104,1312.0252685546875,2025-12-14T05:12:50.498076,2025-12-14T05:18:36.081877
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,64,global,success,8.125577926635742,233.82406640052795,36.01957106590271,13402112,25.5625,2025-12-14T05:31:12.807345,2025-12-14T05:36:17.077820
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,64,per-layer,success,7.115482330322266,440.5245761871338,39.054951667785645,687879104,1312.0252685546875,2025-12-14T05:22:33.880605,2025-12-14T05:31:07.617998
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,128,global,success,7.842045783996582,388.8114924430847,35.987022161483765,13402112,25.5625,2025-12-14T05:50:40.221591,2025-12-14T05:58:19.752184
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,128,per-layer,success,6.86082649230957,778.7138822078705,39.07837462425232,687879104,1312.0252685546875,2025-12-14T05:36:22.252242,2025-12-14T05:50:35.025785
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,256,global,success,7.671221256256103,699.0662608146667,36.02161908149719,13402112,25.5625,2025-12-14T06:23:52.389773,2025-12-14T06:36:43.143939
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,256,per-layer,success,6.690056324005127,1448.5444316864014,39.03397989273071,687879104,1312.0252685546875,2025-12-14T05:58:24.938967,2025-12-14T06:23:47.161766
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,16,global,success,11.339825630187988,116.6542751789093,29.325717449188232,12582912,24.0,2025-12-13T23:13:14.297722,2025-12-13T23:16:13.769329
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,16,per-layer,success,9.74984645843506,186.33927416801453,31.927531480789185,607125504,1158.0,2025-12-13T23:08:59.180955,2025-12-13T23:13:11.164831
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,32,global,success,10.935073852539062,155.33879399299622,29.312593698501587,12582912,24.0,2025-12-13T23:21:57.595074,2025-12-13T23:25:36.856937
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,32,per-layer,success,8.588157653808594,272.0842244625092,31.940269708633423,607125504,1158.0,2025-12-13T23:16:16.844329,2025-12-13T23:21:54.464228
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,64,global,success,10.164379119873049,233.0704660415649,29.350356578826904,12582912,24.0,2025-12-13T23:34:05.938510,2025-12-13T23:39:02.286153
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,64,per-layer,success,7.931655406951904,437.2836349010468,31.89320373535156,607125504,1158.0,2025-12-13T23:25:39.934069,2025-12-13T23:34:02.801306
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,128,global,success,9.787863731384276,390.0230631828308,29.38238763809204,12582912,24.0,2025-12-13T23:53:04.832780,2025-12-14T00:00:39.003374
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,128,per-layer,success,7.559359550476074,770.1623504161835,32.01182723045349,607125504,1158.0,2025-12-13T23:39:05.364249,2025-12-13T23:53:01.709849
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,256,global,success,9.50812530517578,701.3464868068695,29.39863681793213,12582912,24.0,2025-12-14T00:25:53.549352,2025-12-14T00:38:49.158986
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,256,per-layer,success,7.3129448890686035,1441.230454206467,32.00414562225342,607125504,1158.0,2025-12-14T00:00:42.082550,2025-12-14T00:25:50.423237
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,16,global,success,16.439462661743164,117.33142590522766,28.369585037231445,11730944,22.375,2025-12-14T06:41:04.884004,2025-12-14T06:44:04.825135
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,16,per-layer,success,12.009284973144531,186.31999611854556,31.005593299865723,528488192,1008.01123046875,2025-12-14T06:36:48.303975,2025-12-14T06:40:59.804058
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,32,global,success,15.928573608398438,156.18836450576782,28.34572172164917,11730944,22.375,2025-12-14T06:49:51.480695,2025-12-14T06:53:30.477150
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,32,per-layer,success,10.234430313110352,271.5064129829407,30.945873737335205,528488192,1008.01123046875,2025-12-14T06:44:09.990921,2025-12-14T06:49:46.261116
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,64,global,success,14.40644645690918,234.00974369049072,28.330867290496823,11730944,22.375,2025-12-14T07:01:59.353039,2025-12-14T07:06:56.266597
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,64,per-layer,success,9.15158462524414,433.2671341896057,30.941254138946533,528488192,1008.01123046875,2025-12-14T06:53:35.644443,2025-12-14T07:01:54.149517
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,128,global,success,13.920589447021484,388.994708776474,28.329888820648197,11730944,22.375,2025-12-14T07:20:56.229323,2025-12-14T07:28:28.727642
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,128,per-layer,success,8.627800941467285,764.5045654773712,30.942975282669067,528488192,1008.01123046875,2025-12-14T07:07:01.432337,2025-12-14T07:20:51.058601
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,256,global,success,13.268470764160156,699.0759823322296,28.29964780807495,11730944,22.375,2025-12-14T07:53:22.093263,2025-12-14T08:06:04.986434
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,256,per-layer,success,8.232721328735352,1417.1548097133636,30.95067405700684,528488192,1008.01123046875,2025-12-14T07:28:33.907280,2025-12-14T07:53:16.880727
