model,model_short,sparsity,k_value,status,perplexity,compress_time_s,shortcut_params,shortcut_memory_mb,timestamp_start,timestamp_end
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,1,success,5.956418514251709,778.5949611663818,868244480,1656.044921875,2025-12-13T21:41:57.317971,2025-12-13T21:56:09.772005
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,2,success,nan,393.6581485271454,218209280,416.201171875,2025-12-14T01:28:25.085396,2025-12-14T01:36:23.409201
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,4,success,28.39775657653809,388.12307476997375,109870080,209.560546875,2025-12-14T01:36:28.502364,2025-12-14T01:44:17.734876
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,8,success,8.645576477050781,385.39515233039856,55700480,106.240234375,2025-12-14T01:44:22.929261,2025-12-14T01:52:04.230238
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,16,success,6.554184913635254,384.3222393989563,28615680,54.580078125,2025-12-14T01:52:09.412536,2025-12-14T01:59:51.545994
meta-llama/Llama-2-7b-hf,llama-2-7b,0.1,32,success,6.162742614746094,387.9236948490143,15073280,28.75,2025-12-13T21:56:12.930055,2025-12-13T22:03:56.718151
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,1,success,6.86082649230957,779.9148132801056,687879104,1312.0252685546875,2025-12-13T22:03:59.794194,2025-12-13T22:18:13.582354
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,2,success,nan,391.4589440822601,173991872,331.8631591796875,2025-12-14T01:59:56.733349,2025-12-14T02:07:57.304970
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,4,success,30.51061248779297,387.45748353004456,88344000,168.5028076171875,2025-12-14T02:08:02.481740,2025-12-14T02:15:42.528037
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,8,success,10.068682670593262,385.1375141143799,45520064,86.8226318359375,2025-12-14T02:15:47.695086,2025-12-14T02:23:27.136201
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,16,success,7.840434551239014,384.22706174850464,24108096,45.9825439453125,2025-12-14T02:23:32.302831,2025-12-14T02:31:14.449988
meta-llama/Llama-2-7b-hf,llama-2-7b,0.2,32,success,7.842045783996582,388.04701709747314,13402112,25.5625,2025-12-13T22:18:16.718539,2025-12-13T22:25:55.651118
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,1,success,7.559359550476074,767.617702960968,607125504,1158.0,2025-12-13T22:25:58.726173,2025-12-13T22:39:52.690075
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,2,success,nan,391.2470281124115,154140672,294.0,2025-12-14T02:31:19.607352,2025-12-14T02:39:01.714088
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,4,success,32.92083740234375,387.4064331054688,78643200,150.0,2025-12-14T02:39:06.890506,2025-12-14T02:46:41.313260
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,8,success,11.227599143981934,385.23788499832153,40894464,78.0,2025-12-14T02:46:46.487394,2025-12-14T02:54:21.826111
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,16,success,8.950186729431152,384.210031747818,22020096,42.0,2025-12-14T02:54:27.000996,2025-12-14T03:01:59.018577
meta-llama/Llama-2-7b-hf,llama-2-7b,0.25,32,success,9.787863731384276,388.0547769069672,12582912,24.0,2025-12-13T22:39:55.822119,2025-12-13T22:47:28.383666
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,1,success,8.627800941467285,764.9727056026459,528488192,1008.01123046875,2025-12-13T22:47:31.460768,2025-12-13T23:01:21.917374
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,2,success,nan,391.2898211479187,134768384,257.05029296875,2025-12-14T03:02:04.187512,2025-12-14T03:09:49.704610
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,4,success,35.830909729003906,387.1574189662933,69148416,131.89013671875,2025-12-14T03:09:54.851735,2025-12-14T03:17:30.825377
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,8,success,13.309988975524902,385.2568264007568,36338432,69.31005859375,2025-12-14T03:17:35.991309,2025-12-14T03:25:06.806873
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,16,success,10.571711540222168,384.067230463028,19933440,38.02001953125,2025-12-14T03:25:11.972734,2025-12-14T03:32:45.990360
meta-llama/Llama-2-7b-hf,llama-2-7b,0.3,32,success,13.920589447021484,387.91723561286926,11730944,22.375,2025-12-13T23:01:25.037020,2025-12-13T23:08:56.105092
